,cD-value_Direct,cL-value_Direct,WallTimeTotal_h
382,3.202405,0.11927781,3.5024
383,12.117794,-0.0195363809,14.757
384,-11.347538,0.5978676,6.0909
385,6.671388,0.0311378,28.317
386,7.010036,0.009511234,5.8369
387,-8.4061338,0.7127119,20.193
388,11.79105,-0.022956093,7.3615
389,6.249496,0.0292685646,12.262
390,10.052173,0.031446297,4.1408
391,1.7300249,0.314428077,6.3896
392,5.8696364,0.2875566,28.888
393,6.371148,0.011384916,5.4601
394,7.009557,0.008510111,4.0426
395,1.156686065,0.1791979,3.7774
396,2.3251853,0.1521806,3.4243
397,-2.51604536,0.3608063,6.0581
398,4.7424137,0.20519607,13.667
399,1.1602047000000002,0.2189344,16.046
400,6.359214,0.0257060857,5.6662
401,6.91457,0.01356305,17.548
402,6.738522000000001,0.017027263,19.645
403,6.965836,0.02339467,8.3719
404,-1.50681197,0.3018392,8.5161
405,6.5253640000000015,0.033121138,8.394
406,1.66886589,0.1928508099999999,5.3183
407,6.337598999999999,0.0138864059999999,11.144
408,7.053426999999999,0.01053419,4.4563
